"CLDR Short Name";"Code";"Browser"
"woman mechanic";"U+1F469 U+200D U+1F527";"👩
🔧"
"woman mechanic: light skin tone";"U+1F469 U+1F3FB U+200D U+1F527";"👩🏻
🔧"
"woman mechanic: medium-light skin tone";"U+1F469 U+1F3FC U+200D U+1F527";"👩🏼
🔧"
"woman mechanic: medium skin tone";"U+1F469 U+1F3FD U+200D U+1F527";"👩🏽
🔧"
"woman mechanic: medium-dark skin tone";"U+1F469 U+1F3FE U+200D U+1F527";"👩🏾
🔧"
"woman mechanic: dark skin tone";"U+1F469 U+1F3FF U+200D U+1F527";"👩🏿
🔧"
"man factory worker";"U+1F468 U+200D U+1F3ED";"👨
🏭"
"man factory worker: light skin tone";"U+1F468 U+1F3FB U+200D U+1F3ED";"👨🏻
🏭"
"man factory worker: medium-light skin tone";"U+1F468 U+1F3FC U+200D U+1F3ED";"👨🏼
🏭"
"man factory worker: medium skin tone";"U+1F468 U+1F3FD U+200D U+1F3ED";"👨🏽
🏭"
"man factory worker: medium-dark skin tone";"U+1F468 U+1F3FE U+200D U+1F3ED";"👨🏾
🏭"
"man factory worker: dark skin tone";"U+1F468 U+1F3FF U+200D U+1F3ED";"👨🏿
🏭"
"woman factory worker";"U+1F469 U+200D U+1F3ED";"👩
🏭"
"woman factory worker: light skin tone";"U+1F469 U+1F3FB U+200D U+1F3ED";"👩🏻
🏭"
"woman factory worker: medium-light skin tone";"U+1F469 U+1F3FC U+200D U+1F3ED";"👩🏼
🏭"
"woman factory worker: medium skin tone";"U+1F469 U+1F3FD U+200D U+1F3ED";"👩🏽
🏭"
"woman factory worker: medium-dark skin tone";"U+1F469 U+1F3FE U+200D U+1F3ED";"👩🏾
🏭"
"woman factory worker: dark skin tone";"U+1F469 U+1F3FF U+200D U+1F3ED";"👩🏿
🏭"
"man office worker";"U+1F468 U+200D U+1F4BC";"👨
💼"
"man office worker: light skin tone";"U+1F468 U+1F3FB U+200D U+1F4BC";"👨🏻
💼"
"man office worker: medium-light skin tone";"U+1F468 U+1F3FC U+200D U+1F4BC";"👨🏼
💼"
