"CLDR.Short.Name";"Code";"R.Encoding"
"person surfing: dark skin tone";"U+1F3C4 U+1F3FF";"<f0><9f><8f><84> <f0><9f><8f><bf>"
"man surfing";"U+1F3C4 U+200D U+2642 U+FE0F";"<f0><9f><8f><84> <f0><82><80><8d> <f0><82><99><82> <f0><8f><b8><8f>"
"man surfing: light skin tone";"U+1F3C4 U+1F3FB U+200D U+2642 U+FE0F";"<f0><9f><8f><84> <f0><9f><8f><bb> <f0><82><80><8d> <f0><82><99><82> <f0><8f><b8><8f>"
"man surfing: medium-light skin tone";"U+1F3C4 U+1F3FC U+200D U+2642 U+FE0F";"<f0><9f><8f><84> <f0><9f><8f><bc> <f0><82><80><8d> <f0><82><99><82> <f0><8f><b8><8f>"
"man surfing: medium skin tone";"U+1F3C4 U+1F3FD U+200D U+2642 U+FE0F";"<f0><9f><8f><84> <f0><9f><8f><bd> <f0><82><80><8d> <f0><82><99><82> <f0><8f><b8><8f>"
"man surfing: medium-dark skin tone";"U+1F3C4 U+1F3FE U+200D U+2642 U+FE0F";"<f0><9f><8f><84> <f0><9f><8f><be> <f0><82><80><8d> <f0><82><99><82> <f0><8f><b8><8f>"
"man surfing: dark skin tone";"U+1F3C4 U+1F3FF U+200D U+2642 U+FE0F";"<f0><9f><8f><84> <f0><9f><8f><bf> <f0><82><80><8d> <f0><82><99><82> <f0><8f><b8><8f>"
"woman surfing";"U+1F3C4 U+200D U+2640 U+FE0F";"<f0><9f><8f><84> <f0><82><80><8d> <f0><82><99><80> <f0><8f><b8><8f>"
"woman surfing: light skin tone";"U+1F3C4 U+1F3FB U+200D U+2640 U+FE0F";"<f0><9f><8f><84> <f0><9f><8f><bb> <f0><82><80><8d> <f0><82><99><80> <f0><8f><b8><8f>"
"woman surfing: medium-light skin tone";"U+1F3C4 U+1F3FC U+200D U+2640 U+FE0F";"<f0><9f><8f><84> <f0><9f><8f><bc> <f0><82><80><8d> <f0><82><99><80> <f0><8f><b8><8f>"
"woman surfing: medium skin tone";"U+1F3C4 U+1F3FD U+200D U+2640 U+FE0F";"<f0><9f><8f><84> <f0><9f><8f><bd> <f0><82><80><8d> <f0><82><99><80> <f0><8f><b8><8f>"
"woman surfing: medium-dark skin tone";"U+1F3C4 U+1F3FE U+200D U+2640 U+FE0F";"<f0><9f><8f><84> <f0><9f><8f><be> <f0><82><80><8d> <f0><82><99><80> <f0><8f><b8><8f>"
"woman surfing: dark skin tone";"U+1F3C4 U+1F3FF U+200D U+2640 U+FE0F";"<f0><9f><8f><84> <f0><9f><8f><bf> <f0><82><80><8d> <f0><82><99><80> <f0><8f><b8><8f>"
"person rowing boat";"U+1F6A3";"<f0><9f><9a><a3>"
"person rowing boat: light skin tone";"U+1F6A3 U+1F3FB";"<f0><9f><9a><a3> <f0><9f><8f><bb>"
"person rowing boat: medium-light skin tone";"U+1F6A3 U+1F3FC";"<f0><9f><9a><a3> <f0><9f><8f><bc>"
"person rowing boat: medium skin tone";"U+1F6A3 U+1F3FD";"<f0><9f><9a><a3> <f0><9f><8f><bd>"
"person rowing boat: medium-dark skin tone";"U+1F6A3 U+1F3FE";"<f0><9f><9a><a3> <f0><9f><8f><be>"
"person rowing boat: dark skin tone";"U+1F6A3 U+1F3FF";"<f0><9f><9a><a3> <f0><9f><8f><bf>"
"man rowing boat";"U+1F6A3 U+200D U+2642 U+FE0F";"<f0><9f><9a><a3> <f0><82><80><8d> <f0><82><99><82> <f0><8f><b8><8f>"
"man rowing boat: light skin tone";"U+1F6A3 U+1F3FB U+200D U+2642 U+FE0F";"<f0><9f><9a><a3> <f0><9f><8f><bb> <f0><82><80><8d> <f0><82><99><82> <f0><8f><b8><8f>"
"man rowing boat: medium-light skin tone";"U+1F6A3 U+1F3FC U+200D U+2642 U+FE0F";"<f0><9f><9a><a3> <f0><9f><8f><bc> <f0><82><80><8d> <f0><82><99><82> <f0><8f><b8><8f>"
"man rowing boat: medium skin tone";"U+1F6A3 U+1F3FD U+200D U+2642 U+FE0F";"<f0><9f><9a><a3> <f0><9f><8f><bd> <f0><82><80><8d> <f0><82><99><82> <f0><8f><b8><8f>"
"man rowing boat: medium-dark skin tone";"U+1F6A3 U+1F3FE U+200D U+2642 U+FE0F";"<f0><9f><9a><a3> <f0><9f><8f><be> <f0><82><80><8d> <f0><82><99><82> <f0><8f><b8><8f>"
"man rowing boat: dark skin tone";"U+1F6A3 U+1F3FF U+200D U+2642 U+FE0F";"<f0><9f><9a><a3> <f0><9f><8f><bf> <f0><82><80><8d> <f0><82><99><82> <f0><8f><b8><8f>"
"woman rowing boat";"U+1F6A3 U+200D U+2640 U+FE0F";"<f0><9f><9a><a3> <f0><82><80><8d> <f0><82><99><80> <f0><8f><b8><8f>"
"woman rowing boat: light skin tone";"U+1F6A3 U+1F3FB U+200D U+2640 U+FE0F";"<f0><9f><9a><a3> <f0><9f><8f><bb> <f0><82><80><8d> <f0><82><99><80> <f0><8f><b8><8f>"
"woman rowing boat: medium-light skin tone";"U+1F6A3 U+1F3FC U+200D U+2640 U+FE0F";"<f0><9f><9a><a3> <f0><9f><8f><bc> <f0><82><80><8d> <f0><82><99><80> <f0><8f><b8><8f>"
"woman rowing boat: medium skin tone";"U+1F6A3 U+1F3FD U+200D U+2640 U+FE0F";"<f0><9f><9a><a3> <f0><9f><8f><bd> <f0><82><80><8d> <f0><82><99><80> <f0><8f><b8><8f>"
"woman rowing boat: medium-dark skin tone";"U+1F6A3 U+1F3FE U+200D U+2640 U+FE0F";"<f0><9f><9a><a3> <f0><9f><8f><be> <f0><82><80><8d> <f0><82><99><80> <f0><8f><b8><8f>"
"woman rowing boat: dark skin tone";"U+1F6A3 U+1F3FF U+200D U+2640 U+FE0F";"<f0><9f><9a><a3> <f0><9f><8f><bf> <f0><82><80><8d> <f0><82><99><80> <f0><8f><b8><8f>"
"person swimming";"U+1F3CA";"<f0><9f><8f><8a>"
"person swimming: light skin tone";"U+1F3CA U+1F3FB";"<f0><9f><8f><8a> <f0><9f><8f><bb>"
"person swimming: medium-light skin tone";"U+1F3CA U+1F3FC";"<f0><9f><8f><8a> <f0><9f><8f><bc>"
"person swimming: medium skin tone";"U+1F3CA U+1F3FD";"<f0><9f><8f><8a> <f0><9f><8f><bd>"
"person swimming: medium-dark skin tone";"U+1F3CA U+1F3FE";"<f0><9f><8f><8a> <f0><9f><8f><be>"
"person swimming: dark skin tone";"U+1F3CA U+1F3FF";"<f0><9f><8f><8a> <f0><9f><8f><bf>"
"man swimming";"U+1F3CA U+200D U+2642 U+FE0F";"<f0><9f><8f><8a> <f0><82><80><8d> <f0><82><99><82> <f0><8f><b8><8f>"
"man swimming: light skin tone";"U+1F3CA U+1F3FB U+200D U+2642 U+FE0F";"<f0><9f><8f><8a> <f0><9f><8f><bb> <f0><82><80><8d> <f0><82><99><82> <f0><8f><b8><8f>"
"man swimming: medium-light skin tone";"U+1F3CA U+1F3FC U+200D U+2642 U+FE0F";"<f0><9f><8f><8a> <f0><9f><8f><bc> <f0><82><80><8d> <f0><82><99><82> <f0><8f><b8><8f>"
"man swimming: medium skin tone";"U+1F3CA U+1F3FD U+200D U+2642 U+FE0F";"<f0><9f><8f><8a> <f0><9f><8f><bd> <f0><82><80><8d> <f0><82><99><82> <f0><8f><b8><8f>"
"man swimming: medium-dark skin tone";"U+1F3CA U+1F3FE U+200D U+2642 U+FE0F";"<f0><9f><8f><8a> <f0><9f><8f><be> <f0><82><80><8d> <f0><82><99><82> <f0><8f><b8><8f>"
"man swimming: dark skin tone";"U+1F3CA U+1F3FF U+200D U+2642 U+FE0F";"<f0><9f><8f><8a> <f0><9f><8f><bf> <f0><82><80><8d> <f0><82><99><82> <f0><8f><b8><8f>"
"woman swimming";"U+1F3CA U+200D U+2640 U+FE0F";"<f0><9f><8f><8a> <f0><82><80><8d> <f0><82><99><80> <f0><8f><b8><8f>"
"woman swimming: light skin tone";"U+1F3CA U+1F3FB U+200D U+2640 U+FE0F";"<f0><9f><8f><8a> <f0><9f><8f><bb> <f0><82><80><8d> <f0><82><99><80> <f0><8f><b8><8f>"
"woman swimming: medium-light skin tone";"U+1F3CA U+1F3FC U+200D U+2640 U+FE0F";"<f0><9f><8f><8a> <f0><9f><8f><bc> <f0><82><80><8d> <f0><82><99><80> <f0><8f><b8><8f>"
"woman swimming: medium skin tone";"U+1F3CA U+1F3FD U+200D U+2640 U+FE0F";"<f0><9f><8f><8a> <f0><9f><8f><bd> <f0><82><80><8d> <f0><82><99><80> <f0><8f><b8><8f>"
"woman swimming: medium-dark skin tone";"U+1F3CA U+1F3FE U+200D U+2640 U+FE0F";"<f0><9f><8f><8a> <f0><9f><8f><be> <f0><82><80><8d> <f0><82><99><80> <f0><8f><b8><8f>"
"woman swimming: dark skin tone";"U+1F3CA U+1F3FF U+200D U+2640 U+FE0F";"<f0><9f><8f><8a> <f0><9f><8f><bf> <f0><82><80><8d> <f0><82><99><80> <f0><8f><b8><8f>"
"person bouncing ball";"U+26F9";"<f0><82><9b><b9>"
"person bouncing ball: light skin tone";"U+26F9 U+1F3FB";"<f0><82><9b><b9> <f0><9f><8f><bb>"
"person bouncing ball: medium-light skin tone";"U+26F9 U+1F3FC";"<f0><82><9b><b9> <f0><9f><8f><bc>"
"person bouncing ball: medium skin tone";"U+26F9 U+1F3FD";"<f0><82><9b><b9> <f0><9f><8f><bd>"
"person bouncing ball: medium-dark skin tone";"U+26F9 U+1F3FE";"<f0><82><9b><b9> <f0><9f><8f><be>"
"person bouncing ball: dark skin tone";"U+26F9 U+1F3FF";"<f0><82><9b><b9> <f0><9f><8f><bf>"
"man bouncing ball";"U+26F9 U+FE0F U+200D U+2642 U+FE0F";"<f0><82><9b><b9> <f0><8f><b8><8f> <f0><82><80><8d> <f0><82><99><82> <f0><8f><b8><8f>"
"man bouncing ball: light skin tone";"U+26F9 U+1F3FB U+200D U+2642 U+FE0F";"<f0><82><9b><b9> <f0><9f><8f><bb> <f0><82><80><8d> <f0><82><99><82> <f0><8f><b8><8f>"
"man bouncing ball: medium-light skin tone";"U+26F9 U+1F3FC U+200D U+2642 U+FE0F";"<f0><82><9b><b9> <f0><9f><8f><bc> <f0><82><80><8d> <f0><82><99><82> <f0><8f><b8><8f>"
"man bouncing ball: medium skin tone";"U+26F9 U+1F3FD U+200D U+2642 U+FE0F";"<f0><82><9b><b9> <f0><9f><8f><bd> <f0><82><80><8d> <f0><82><99><82> <f0><8f><b8><8f>"
"man bouncing ball: medium-dark skin tone";"U+26F9 U+1F3FE U+200D U+2642 U+FE0F";"<f0><82><9b><b9> <f0><9f><8f><be> <f0><82><80><8d> <f0><82><99><82> <f0><8f><b8><8f>"
"man bouncing ball: dark skin tone";"U+26F9 U+1F3FF U+200D U+2642 U+FE0F";"<f0><82><9b><b9> <f0><9f><8f><bf> <f0><82><80><8d> <f0><82><99><82> <f0><8f><b8><8f>"
"woman bouncing ball";"U+26F9 U+FE0F U+200D U+2640 U+FE0F";"<f0><82><9b><b9> <f0><8f><b8><8f> <f0><82><80><8d> <f0><82><99><80> <f0><8f><b8><8f>"
"woman bouncing ball: light skin tone";"U+26F9 U+1F3FB U+200D U+2640 U+FE0F";"<f0><82><9b><b9> <f0><9f><8f><bb> <f0><82><80><8d> <f0><82><99><80> <f0><8f><b8><8f>"
"woman bouncing ball: medium-light skin tone";"U+26F9 U+1F3FC U+200D U+2640 U+FE0F";"<f0><82><9b><b9> <f0><9f><8f><bc> <f0><82><80><8d> <f0><82><99><80> <f0><8f><b8><8f>"
"woman bouncing ball: medium skin tone";"U+26F9 U+1F3FD U+200D U+2640 U+FE0F";"<f0><82><9b><b9> <f0><9f><8f><bd> <f0><82><80><8d> <f0><82><99><80> <f0><8f><b8><8f>"
"woman bouncing ball: medium-dark skin tone";"U+26F9 U+1F3FE U+200D U+2640 U+FE0F";"<f0><82><9b><b9> <f0><9f><8f><be> <f0><82><80><8d> <f0><82><99><80> <f0><8f><b8><8f>"
"woman bouncing ball: dark skin tone";"U+26F9 U+1F3FF U+200D U+2640 U+FE0F";"<f0><82><9b><b9> <f0><9f><8f><bf> <f0><82><80><8d> <f0><82><99><80> <f0><8f><b8><8f>"
"person lifting weights";"U+1F3CB";"<f0><9f><8f><8b>"
"person lifting weights: light skin tone";"U+1F3CB U+1F3FB";"<f0><9f><8f><8b> <f0><9f><8f><bb>"
"person lifting weights: medium-light skin tone";"U+1F3CB U+1F3FC";"<f0><9f><8f><8b> <f0><9f><8f><bc>"
"person lifting weights: medium skin tone";"U+1F3CB U+1F3FD";"<f0><9f><8f><8b> <f0><9f><8f><bd>"
"person lifting weights: medium-dark skin tone";"U+1F3CB U+1F3FE";"<f0><9f><8f><8b> <f0><9f><8f><be>"
"person lifting weights: dark skin tone";"U+1F3CB U+1F3FF";"<f0><9f><8f><8b> <f0><9f><8f><bf>"
"man lifting weights";"U+1F3CB U+FE0F U+200D U+2642 U+FE0F";"<f0><9f><8f><8b> <f0><8f><b8><8f> <f0><82><80><8d> <f0><82><99><82> <f0><8f><b8><8f>"
"man lifting weights: light skin tone";"U+1F3CB U+1F3FB U+200D U+2642 U+FE0F";"<f0><9f><8f><8b> <f0><9f><8f><bb> <f0><82><80><8d> <f0><82><99><82> <f0><8f><b8><8f>"
"man lifting weights: medium-light skin tone";"U+1F3CB U+1F3FC U+200D U+2642 U+FE0F";"<f0><9f><8f><8b> <f0><9f><8f><bc> <f0><82><80><8d> <f0><82><99><82> <f0><8f><b8><8f>"
"man lifting weights: medium skin tone";"U+1F3CB U+1F3FD U+200D U+2642 U+FE0F";"<f0><9f><8f><8b> <f0><9f><8f><bd> <f0><82><80><8d> <f0><82><99><82> <f0><8f><b8><8f>"
"man lifting weights: medium-dark skin tone";"U+1F3CB U+1F3FE U+200D U+2642 U+FE0F";"<f0><9f><8f><8b> <f0><9f><8f><be> <f0><82><80><8d> <f0><82><99><82> <f0><8f><b8><8f>"
"man lifting weights: dark skin tone";"U+1F3CB U+1F3FF U+200D U+2642 U+FE0F";"<f0><9f><8f><8b> <f0><9f><8f><bf> <f0><82><80><8d> <f0><82><99><82> <f0><8f><b8><8f>"
"woman lifting weights";"U+1F3CB U+FE0F U+200D U+2640 U+FE0F";"<f0><9f><8f><8b> <f0><8f><b8><8f> <f0><82><80><8d> <f0><82><99><80> <f0><8f><b8><8f>"
"woman lifting weights: light skin tone";"U+1F3CB U+1F3FB U+200D U+2640 U+FE0F";"<f0><9f><8f><8b> <f0><9f><8f><bb> <f0><82><80><8d> <f0><82><99><80> <f0><8f><b8><8f>"
"woman lifting weights: medium-light skin tone";"U+1F3CB U+1F3FC U+200D U+2640 U+FE0F";"<f0><9f><8f><8b> <f0><9f><8f><bc> <f0><82><80><8d> <f0><82><99><80> <f0><8f><b8><8f>"
"woman lifting weights: medium skin tone";"U+1F3CB U+1F3FD U+200D U+2640 U+FE0F";"<f0><9f><8f><8b> <f0><9f><8f><bd> <f0><82><80><8d> <f0><82><99><80> <f0><8f><b8><8f>"
"woman lifting weights: medium-dark skin tone";"U+1F3CB U+1F3FE U+200D U+2640 U+FE0F";"<f0><9f><8f><8b> <f0><9f><8f><be> <f0><82><80><8d> <f0><82><99><80> <f0><8f><b8><8f>"
"woman lifting weights: dark skin tone";"U+1F3CB U+1F3FF U+200D U+2640 U+FE0F";"<f0><9f><8f><8b> <f0><9f><8f><bf> <f0><82><80><8d> <f0><82><99><80> <f0><8f><b8><8f>"
"person biking";"U+1F6B4";"<f0><9f><9a><b4>"
"person biking: light skin tone";"U+1F6B4 U+1F3FB";"<f0><9f><9a><b4> <f0><9f><8f><bb>"
"person biking: medium-light skin tone";"U+1F6B4 U+1F3FC";"<f0><9f><9a><b4> <f0><9f><8f><bc>"
"person biking: medium skin tone";"U+1F6B4 U+1F3FD";"<f0><9f><9a><b4> <f0><9f><8f><bd>"
"person biking: medium-dark skin tone";"U+1F6B4 U+1F3FE";"<f0><9f><9a><b4> <f0><9f><8f><be>"
"person biking: dark skin tone";"U+1F6B4 U+1F3FF";"<f0><9f><9a><b4> <f0><9f><8f><bf>"
"man biking";"U+1F6B4 U+200D U+2642 U+FE0F";"<f0><9f><9a><b4> <f0><82><80><8d> <f0><82><99><82> <f0><8f><b8><8f>"
"man biking: light skin tone";"U+1F6B4 U+1F3FB U+200D U+2642 U+FE0F";"<f0><9f><9a><b4> <f0><9f><8f><bb> <f0><82><80><8d> <f0><82><99><82> <f0><8f><b8><8f>"
"man biking: medium-light skin tone";"U+1F6B4 U+1F3FC U+200D U+2642 U+FE0F";"<f0><9f><9a><b4> <f0><9f><8f><bc> <f0><82><80><8d> <f0><82><99><82> <f0><8f><b8><8f>"
"man biking: medium skin tone";"U+1F6B4 U+1F3FD U+200D U+2642 U+FE0F";"<f0><9f><9a><b4> <f0><9f><8f><bd> <f0><82><80><8d> <f0><82><99><82> <f0><8f><b8><8f>"
"man biking: medium-dark skin tone";"U+1F6B4 U+1F3FE U+200D U+2642 U+FE0F";"<f0><9f><9a><b4> <f0><9f><8f><be> <f0><82><80><8d> <f0><82><99><82> <f0><8f><b8><8f>"
"man biking: dark skin tone";"U+1F6B4 U+1F3FF U+200D U+2642 U+FE0F";"<f0><9f><9a><b4> <f0><9f><8f><bf> <f0><82><80><8d> <f0><82><99><82> <f0><8f><b8><8f>"
"woman biking";"U+1F6B4 U+200D U+2640 U+FE0F";"<f0><9f><9a><b4> <f0><82><80><8d> <f0><82><99><80> <f0><8f><b8><8f>"
"woman biking: light skin tone";"U+1F6B4 U+1F3FB U+200D U+2640 U+FE0F";"<f0><9f><9a><b4> <f0><9f><8f><bb> <f0><82><80><8d> <f0><82><99><80> <f0><8f><b8><8f>"
"woman biking: medium-light skin tone";"U+1F6B4 U+1F3FC U+200D U+2640 U+FE0F";"<f0><9f><9a><b4> <f0><9f><8f><bc> <f0><82><80><8d> <f0><82><99><80> <f0><8f><b8><8f>"
"woman biking: medium skin tone";"U+1F6B4 U+1F3FD U+200D U+2640 U+FE0F";"<f0><9f><9a><b4> <f0><9f><8f><bd> <f0><82><80><8d> <f0><82><99><80> <f0><8f><b8><8f>"
"woman biking: medium-dark skin tone";"U+1F6B4 U+1F3FE U+200D U+2640 U+FE0F";"<f0><9f><9a><b4> <f0><9f><8f><be> <f0><82><80><8d> <f0><82><99><80> <f0><8f><b8><8f>"
"woman biking: dark skin tone";"U+1F6B4 U+1F3FF U+200D U+2640 U+FE0F";"<f0><9f><9a><b4> <f0><9f><8f><bf> <f0><82><80><8d> <f0><82><99><80> <f0><8f><b8><8f>"
"person mountain biking";"U+1F6B5";"<f0><9f><9a><b5>"
"person mountain biking: light skin tone";"U+1F6B5 U+1F3FB";"<f0><9f><9a><b5> <f0><9f><8f><bb>"
"person mountain biking: medium-light skin tone";"U+1F6B5 U+1F3FC";"<f0><9f><9a><b5> <f0><9f><8f><bc>"
"person mountain biking: medium skin tone";"U+1F6B5 U+1F3FD";"<f0><9f><9a><b5> <f0><9f><8f><bd>"
"person mountain biking: medium-dark skin tone";"U+1F6B5 U+1F3FE";"<f0><9f><9a><b5> <f0><9f><8f><be>"
"person mountain biking: dark skin tone";"U+1F6B5 U+1F3FF";"<f0><9f><9a><b5> <f0><9f><8f><bf>"
"man mountain biking";"U+1F6B5 U+200D U+2642 U+FE0F";"<f0><9f><9a><b5> <f0><82><80><8d> <f0><82><99><82> <f0><8f><b8><8f>"
"man mountain biking: light skin tone";"U+1F6B5 U+1F3FB U+200D U+2642 U+FE0F";"<f0><9f><9a><b5> <f0><9f><8f><bb> <f0><82><80><8d> <f0><82><99><82> <f0><8f><b8><8f>"
"man mountain biking: medium-light skin tone";"U+1F6B5 U+1F3FC U+200D U+2642 U+FE0F";"<f0><9f><9a><b5> <f0><9f><8f><bc> <f0><82><80><8d> <f0><82><99><82> <f0><8f><b8><8f>"
"man mountain biking: medium skin tone";"U+1F6B5 U+1F3FD U+200D U+2642 U+FE0F";"<f0><9f><9a><b5> <f0><9f><8f><bd> <f0><82><80><8d> <f0><82><99><82> <f0><8f><b8><8f>"
"man mountain biking: medium-dark skin tone";"U+1F6B5 U+1F3FE U+200D U+2642 U+FE0F";"<f0><9f><9a><b5> <f0><9f><8f><be> <f0><82><80><8d> <f0><82><99><82> <f0><8f><b8><8f>"
"man mountain biking: dark skin tone";"U+1F6B5 U+1F3FF U+200D U+2642 U+FE0F";"<f0><9f><9a><b5> <f0><9f><8f><bf> <f0><82><80><8d> <f0><82><99><82> <f0><8f><b8><8f>"
"woman mountain biking";"U+1F6B5 U+200D U+2640 U+FE0F";"<f0><9f><9a><b5> <f0><82><80><8d> <f0><82><99><80> <f0><8f><b8><8f>"
"woman mountain biking: light skin tone";"U+1F6B5 U+1F3FB U+200D U+2640 U+FE0F";"<f0><9f><9a><b5> <f0><9f><8f><bb> <f0><82><80><8d> <f0><82><99><80> <f0><8f><b8><8f>"
"woman mountain biking: medium-light skin tone";"U+1F6B5 U+1F3FC U+200D U+2640 U+FE0F";"<f0><9f><9a><b5> <f0><9f><8f><bc> <f0><82><80><8d> <f0><82><99><80> <f0><8f><b8><8f>"
"woman mountain biking: medium skin tone";"U+1F6B5 U+1F3FD U+200D U+2640 U+FE0F";"<f0><9f><9a><b5> <f0><9f><8f><bd> <f0><82><80><8d> <f0><82><99><80> <f0><8f><b8><8f>"
"woman mountain biking: medium-dark skin tone";"U+1F6B5 U+1F3FE U+200D U+2640 U+FE0F";"<f0><9f><9a><b5> <f0><9f><8f><be> <f0><82><80><8d> <f0><82><99><80> <f0><8f><b8><8f>"
"woman mountain biking: dark skin tone";"U+1F6B5 U+1F3FF U+200D U+2640 U+FE0F";"<f0><9f><9a><b5> <f0><9f><8f><bf> <f0><82><80><8d> <f0><82><99><80> <f0><8f><b8><8f>"
"racing car";"U+1F3CE";"<f0><9f><8f><8e>"
"motorcycle";"U+1F3CD";"<f0><9f><8f><8d>"
"person cartwheeling";"U+1F938";"<f0><9f><a4><b8>"
"person cartwheeling: light skin tone";"U+1F938 U+1F3FB";"<f0><9f><a4><b8> <f0><9f><8f><bb>"
"person cartwheeling: medium-light skin tone";"U+1F938 U+1F3FC";"<f0><9f><a4><b8> <f0><9f><8f><bc>"
"person cartwheeling: medium skin tone";"U+1F938 U+1F3FD";"<f0><9f><a4><b8> <f0><9f><8f><bd>"
"person cartwheeling: medium-dark skin tone";"U+1F938 U+1F3FE";"<f0><9f><a4><b8> <f0><9f><8f><be>"
"person cartwheeling: dark skin tone";"U+1F938 U+1F3FF";"<f0><9f><a4><b8> <f0><9f><8f><bf>"
"man cartwheeling";"U+1F938 U+200D U+2642 U+FE0F";"<f0><9f><a4><b8> <f0><82><80><8d> <f0><82><99><82> <f0><8f><b8><8f>"
"man cartwheeling: light skin tone";"U+1F938 U+1F3FB U+200D U+2642 U+FE0F";"<f0><9f><a4><b8> <f0><9f><8f><bb> <f0><82><80><8d> <f0><82><99><82> <f0><8f><b8><8f>"
"man cartwheeling: medium-light skin tone";"U+1F938 U+1F3FC U+200D U+2642 U+FE0F";"<f0><9f><a4><b8> <f0><9f><8f><bc> <f0><82><80><8d> <f0><82><99><82> <f0><8f><b8><8f>"
"man cartwheeling: medium skin tone";"U+1F938 U+1F3FD U+200D U+2642 U+FE0F";"<f0><9f><a4><b8> <f0><9f><8f><bd> <f0><82><80><8d> <f0><82><99><82> <f0><8f><b8><8f>"
"man cartwheeling: medium-dark skin tone";"U+1F938 U+1F3FE U+200D U+2642 U+FE0F";"<f0><9f><a4><b8> <f0><9f><8f><be> <f0><82><80><8d> <f0><82><99><82> <f0><8f><b8><8f>"
"man cartwheeling: dark skin tone";"U+1F938 U+1F3FF U+200D U+2642 U+FE0F";"<f0><9f><a4><b8> <f0><9f><8f><bf> <f0><82><80><8d> <f0><82><99><82> <f0><8f><b8><8f>"
"woman cartwheeling";"U+1F938 U+200D U+2640 U+FE0F";"<f0><9f><a4><b8> <f0><82><80><8d> <f0><82><99><80> <f0><8f><b8><8f>"
"woman cartwheeling: light skin tone";"U+1F938 U+1F3FB U+200D U+2640 U+FE0F";"<f0><9f><a4><b8> <f0><9f><8f><bb> <f0><82><80><8d> <f0><82><99><80> <f0><8f><b8><8f>"
"woman cartwheeling: medium-light skin tone";"U+1F938 U+1F3FC U+200D U+2640 U+FE0F";"<f0><9f><a4><b8> <f0><9f><8f><bc> <f0><82><80><8d> <f0><82><99><80> <f0><8f><b8><8f>"
"woman cartwheeling: medium skin tone";"U+1F938 U+1F3FD U+200D U+2640 U+FE0F";"<f0><9f><a4><b8> <f0><9f><8f><bd> <f0><82><80><8d> <f0><82><99><80> <f0><8f><b8><8f>"
"woman cartwheeling: medium-dark skin tone";"U+1F938 U+1F3FE U+200D U+2640 U+FE0F";"<f0><9f><a4><b8> <f0><9f><8f><be> <f0><82><80><8d> <f0><82><99><80> <f0><8f><b8><8f>"
"woman cartwheeling: dark skin tone";"U+1F938 U+1F3FF U+200D U+2640 U+FE0F";"<f0><9f><a4><b8> <f0><9f><8f><bf> <f0><82><80><8d> <f0><82><99><80> <f0><8f><b8><8f>"
"people wrestling";"U+1F93C";"<f0><9f><a4><bc>"
"men wrestling";"U+1F93C U+200D U+2642 U+FE0F";"<f0><9f><a4><bc> <f0><82><80><8d> <f0><82><99><82> <f0><8f><b8><8f>"
"women wrestling";"U+1F93C U+200D U+2640 U+FE0F";"<f0><9f><a4><bc> <f0><82><80><8d> <f0><82><99><80> <f0><8f><b8><8f>"
"person playing water polo";"U+1F93D";"<f0><9f><a4><bd>"
"person playing water polo: light skin tone";"U+1F93D U+1F3FB";"<f0><9f><a4><bd> <f0><9f><8f><bb>"
"person playing water polo: medium-light skin tone";"U+1F93D U+1F3FC";"<f0><9f><a4><bd> <f0><9f><8f><bc>"
"person playing water polo: medium skin tone";"U+1F93D U+1F3FD";"<f0><9f><a4><bd> <f0><9f><8f><bd>"
"person playing water polo: medium-dark skin tone";"U+1F93D U+1F3FE";"<f0><9f><a4><bd> <f0><9f><8f><be>"
"person playing water polo: dark skin tone";"U+1F93D U+1F3FF";"<f0><9f><a4><bd> <f0><9f><8f><bf>"
"man playing water polo";"U+1F93D U+200D U+2642 U+FE0F";"<f0><9f><a4><bd> <f0><82><80><8d> <f0><82><99><82> <f0><8f><b8><8f>"
"man playing water polo: light skin tone";"U+1F93D U+1F3FB U+200D U+2642 U+FE0F";"<f0><9f><a4><bd> <f0><9f><8f><bb> <f0><82><80><8d> <f0><82><99><82> <f0><8f><b8><8f>"
"man playing water polo: medium-light skin tone";"U+1F93D U+1F3FC U+200D U+2642 U+FE0F";"<f0><9f><a4><bd> <f0><9f><8f><bc> <f0><82><80><8d> <f0><82><99><82> <f0><8f><b8><8f>"
"man playing water polo: medium skin tone";"U+1F93D U+1F3FD U+200D U+2642 U+FE0F";"<f0><9f><a4><bd> <f0><9f><8f><bd> <f0><82><80><8d> <f0><82><99><82> <f0><8f><b8><8f>"
"man playing water polo: medium-dark skin tone";"U+1F93D U+1F3FE U+200D U+2642 U+FE0F";"<f0><9f><a4><bd> <f0><9f><8f><be> <f0><82><80><8d> <f0><82><99><82> <f0><8f><b8><8f>"
"man playing water polo: dark skin tone";"U+1F93D U+1F3FF U+200D U+2642 U+FE0F";"<f0><9f><a4><bd> <f0><9f><8f><bf> <f0><82><80><8d> <f0><82><99><82> <f0><8f><b8><8f>"
"woman playing water polo";"U+1F93D U+200D U+2640 U+FE0F";"<f0><9f><a4><bd> <f0><82><80><8d> <f0><82><99><80> <f0><8f><b8><8f>"
"woman playing water polo: light skin tone";"U+1F93D U+1F3FB U+200D U+2640 U+FE0F";"<f0><9f><a4><bd> <f0><9f><8f><bb> <f0><82><80><8d> <f0><82><99><80> <f0><8f><b8><8f>"
